lfdn,v_18
139,Building of economic models for comparing and prioritizing requirements.   Predicting the business impact of future software capabilities.   Observing user behaviour and connecting it to previous and future requirements.   Visualising requirements and business goals and their interconnections.   Deriving requirements from business goals.   Formally proving the adherence of a system to non-functional requirements. 
156,"I think that the community is to focused in producing short term results for scientific publications. In general, experiments are fictitious and irrelevant, and conducted in very controlled environments. I think that research shall move towards conducting large experiments in the industry and present the results of the application of methods and notations in more real non-controlled environments. I currently see the RE community as a very closed family in which novel ideas are not welcomed.  Same authors on same topics year after year, with very little chance for real experiences to be presented. "
158,Find better ways for healthcare practitioners/IT to be aware of and involved in requirements activities.
160,Reducing ambiguity that arises from unexplicated conflict
171,"Study real-life projects and identify issues that actually caused problems. Then find out how better requirments could have helped. Much research deals with internal consistency of requirements, formalisms, etc. In my experience, this is not where the problems are."
173,"1) Derive Software Requirements from System Requirements. I do not know any proper, research based method which guide people in the industry here!  2) A research based guidance how to treat the different categories of requirements (not the levels!!!). E.g. a process requirement will have not traceability into the technical implementation etc.  3) A research based argumentation where and when natural language requirements are useful and where not"
194,I would say: Please analyze the documentation of our past projects to find subsystems and conditions where requirements were unstable and erroneous.     NOTE: I doubt that managers would give access to such documentation or that they would be happy to know that the causes of problems were not some technical issues but incompetent people or wrong planing decisions. 
197,"(Semi)-Automated support for standard RE activities. A many more automatical methods shall support and ease the work of RE. Especially for standardised requirements, security, safety, traceability analysis,etc. "
204,Develop methods for extracting familiar ideas from the documented requirements and stakeholders' comments and transforming informal stakeholder requests into formal requirements.
207,Understanding and staying within the scope of the system
216,Modelling the enterprise that is responsible for creating the product.
221,What related effort and thereforce produced costs do we have when we are establishing professional RE in a kind of  standard project ? Measure this essential will provide us in comparison in a  non-RE  project what qualitiy improvements and cost reduction we can actually obtain
224,
226,"Develop elicitation tools that function like video games, so that respondant thinks about the requirements in terms of why they need the requirement to 'win her/his game'"
238,How to define the right granularity of requirements -  are there any guidelines for different phases of the project? 
240,"Easy way to document features exact and unambigously, perhaps build in templates in requirements documentation software, perhaps better automated checks on consistency and disambuigity."
243,"RE should be teached at any university, may be by practitioners"
244,Sichere Merkmale zur Typisierung von Requirements  erarbeiten
247,"They should know the customer side (even hidden stakeholders), Keep a professional distance to requirements and Analyse them to the bone, Keep an open mind that requirements can be just the top of an iceberg with 80% not covered by defined requirements; to let them enjoy my professional guidance, I would recommend them to let me know their negative experiences."
253,Stakeholder participation
262,"a clear and precise description and analysis of the problem domain  focus on the problems and the benefits, why these problems should be solved  what is needed to solve the problem on a higher level of abstraction"
269,Industry standards that are conveyed to the E-level so that they see the value of requirements.  It seems to be a constant fight in many companies I have consulted with to pay for the time to properly gather and maintain requirements.
282,"I think one of the main areas of concern is hearing the voice of the user, overcoming the problem of the user's failing to adequately articulate their needs.  This would include interdisciplinary research in the fields of cognitive psychology, decision analysis (e.g., Decision Trees), software design (problem definition)."
285,Make sure that the identified user needs are both comprehensive in a sense of covering both explicit and implicit scenarios and well aligned with the business goals.
291,I'd like to see research into the relationships between the requirements specified for each perspective in the Zachman framework and those of other perspectives.
296,How to best apply professional requirement engineering together with agile development methods.
298,what prevents REs to negotiate requirements more/better. What negotiation approaches are used? 
299,Tools currently in use for the requirements process
306,"1.We face a lot problems with RE and ALM tools. There are several tools but until non of this tools realy covers our requirements. Do research and identify common requirements fir these tools. Developer new tools and integrate additional tools as they are build in phd thesisis.  2. Do more research in specific business domains and provide domain specific reports how RE can be done and how to face domain specific challanges.  3. Include technology changes in the RE research. How do we need to change RE processes, documents,... If we change the software architecture (monolit, soa, microservice, cloud,...). "
310,"The main issue is to make research around practical methods and techniques for doing requirements elicitation, requirements specification, and requirements validation. Focus within Software Engineering (Requirements Engineering) is on a level that is far to high and abstract (frameworks, philosophy, theory). The industry needs a toolbox with techniques and practices that work. It is often about the small things: how to conduct an interview with a customer; where to find raw information (organizational charts, service descriptions, product documentation); how to validate requirements (through documents or through triangulation); how to document the results of a customer meeting (Minutes of Meeting). The industry is completely void when it comes to having a toolbox with techniques and methods such as these. It is too much theory and high-level talk. You have all these techniques in research (this questionnaire, open-ended interviews, structured interviews, observations), but the industry use post-its. "
320,"Transition from research to practice and the associated cost (overcoming management resistance)  Get researcher(s) embedded with real life system engineering teams and uncover new research areas.  Independent evaluations of system engineering processes and tools (obviously not all of them are equal), and the definition of true value metrics"
326,"team management, requirement management, and systems for managing requirement progress and elimination."
328,"Focus on Change and Version Control (Configuration Management) associated with changing requirements. Modifications to requirements can have an enormous impact on the design, verification, cost and schedule aspects of a project and this impact is often not adequately communicated because of poor change and version control processes."
